order_id,order_date,customer_id,product_id,quantity,unit_price,total_amount
ORD00001,2025-06-03,CUST1713,PRD459,4,177.56,710.24
ORD00002,2025-07-12,CUST0595,PRD312,4,190.07,760.3
ORD00003,2025-03-08,CUST1441,PRD402,4,55.16,220.63
ORD00004,2025-05-16,CUST0771,PRD339,3,120.13,360.38
ORD00005,2025-09-12,CUST0891,PRD157,5,67.27,336.37
ORD00006,2025-01-17,CUST1703,PRD170,5,82.95,414.77
ORD00007,2025-02-20,CUST1319,PRD016,5,100.97,504.87
ORD00008,2025-06-20,CUST0419,PRD193,2,11.6,23.2
ORD00009,2024-12-24,CUST0198,PRD168,4,155.06,620.24
ORD00010,2024-12-17,CUST1736,PRD293,3,38.91,116.72
ORD00011,2025-11-20,CUST1501,PRD282,5,158.61,793.03
ORD00012,2025-09-30,CUST0182,PRD006,3,179.22,537.67
ORD00013,2025-10-03,CUST1577,PRD089,4,174.01,696.02
ORD00014,2025-11-22,CUST0874,PRD169,4,94.15,376.6
ORD00015,2025-07-08,CUST0934,PRD113,1,78.23,78.23
ORD00016,2025-05-13,CUST1024,PRD319,1,147.98,147.98
ORD00017,2025-08-07,CUST0734,PRD318,2,47.88,95.77
ORD00018,2025-06-06,CUST1017,PRD451,3,186.34,559.03
ORD00019,2025-10-08,CUST0786,PRD420,4,46.53,186.13
ORD00020,2025-04-15,CUST1834,PRD498,4,98.21,392.85
ORD00021,2025-02-04,CUST0511,PRD111,2,111.69,223.37
ORD00022,2025-05-17,CUST1403,PRD019,3,132.29,396.86
ORD00023,2025-11-15,CUST1969,PRD140,5,175.97,879.86
ORD00024,2025-01-06,CUST0393,PRD430,3,130.46,391.39
ORD00025,2025-01-04,CUST0133,PRD365,4,176.12,704.47
ORD00026,2024-12-15,CUST0578,PRD199,5,167.84,839.2
ORD00027,2025-02-05,CUST0871,PRD425,3,123.83,371.5
ORD00028,2025-05-01,CUST1666,PRD239,5,114.81,574.04
ORD00029,2024-12-16,CUST1977,PRD258,4,32.14,128.54
ORD00030,2025-09-19,CUST1165,PRD442,4,17.67,70.69
ORD00031,2025-05-29,CUST0568,PRD007,5,104.97,524.87
ORD00032,2025-05-20,CUST1619,PRD349,1,32.76,32.76
ORD00033,2025-01-10,CUST1027,PRD391,2,140.12,280.23
ORD00034,2025-06-28,CUST0621,PRD119,5,64.14,320.7
ORD00035,2025-02-28,CUST1809,PRD366,2,120.31,240.62
ORD00036,2025-03-13,CUST1790,PRD034,1,175.32,175.32
ORD00037,2025-03-21,CUST1160,PRD293,4,30.67,122.69
ORD00038,2025-04-28,CUST0556,PRD217,1,67.63,67.63
ORD00039,2025-08-14,CUST1285,PRD297,3,66.14,198.43
ORD00040,2025-07-05,CUST1215,PRD148,4,94.54,378.14
ORD00041,2025-11-13,CUST1945,PRD253,5,24.07,120.33
ORD00042,2025-04-11,CUST1077,PRD284,4,193.05,772.21
ORD00043,2025-06-27,CUST0113,PRD387,3,196.11,588.33
ORD00044,2025-05-29,CUST1572,PRD457,3,164.61,493.83
ORD00045,2025-10-22,CUST1323,PRD450,1,37.43,37.43
ORD00046,2025-01-27,CUST1757,PRD013,4,128.77,515.09
ORD00047,2025-02-06,CUST0683,PRD407,2,14.52,29.05
ORD00048,2025-04-07,CUST1849,PRD402,2,133.76,267.53
ORD00049,2025-06-12,CUST0250,PRD309,1,190.91,190.91
ORD00050,2025-10-09,CUST0012,PRD029,1,112.64,112.64
ORD00051,2025-09-08,CUST1663,PRD326,1,185.66,185.66
ORD00052,2025-04-19,CUST0300,PRD114,3,93.86,281.57
ORD00053,2025-08-04,CUST1163,PRD401,4,110.37,441.47
ORD00054,2025-03-17,CUST0053,PRD378,4,133.25,533.01
ORD00055,2025-08-30,CUST0122,PRD008,1,136.54,136.54
ORD00056,2025-08-22,CUST0839,PRD246,2,188.74,377.47
ORD00057,2025-05-19,CUST1871,PRD321,4,183.07,732.29
ORD00058,2025-08-11,CUST1584,PRD183,4,87.39,349.56
ORD00059,2025-10-30,CUST0489,PRD338,2,36.16,72.33
ORD00060,2025-08-01,CUST0718,PRD245,2,143.95,287.91
ORD00061,2025-08-19,CUST0932,PRD404,4,186.41,745.64
ORD00062,2025-04-02,CUST0837,PRD424,5,118.62,593.11
ORD00063,2025-01-23,CUST0276,PRD027,2,187.12,374.23
ORD00064,2025-09-04,CUST1864,PRD271,1,156.85,156.85
ORD00065,2025-08-03,CUST0566,PRD461,4,50.02,200.1
ORD00066,2025-06-21,CUST1794,PRD322,5,149.6,747.98
ORD00067,2025-03-22,CUST1298,PRD298,1,185.71,185.71
ORD00068,2025-01-03,CUST0825,PRD289,3,152.55,457.65
ORD00069,2025-02-26,CUST1668,PRD284,2,192.52,385.04
ORD00070,2025-09-03,CUST0463,PRD007,2,124.51,249.02
ORD00071,2025-05-18,CUST1868,PRD197,2,54.99,109.97
ORD00072,2025-01-14,CUST0298,PRD092,5,97.85,489.26
ORD00073,2025-05-03,CUST0121,PRD368,2,152.06,304.12
ORD00074,2025-03-15,CUST0822,PRD231,5,9.85,49.24
ORD00075,2025-06-28,CUST1630,PRD287,3,191.01,573.04
